date,bit/s
2018-06-12 15:10:29.138288,233682742.6100588
2018-06-12 15:10:30.138900,229226580.95774916
2018-06-12 15:10:31.139360,229264616.21502754
2018-06-12 15:10:32.140103,229205048.51652357
2018-06-12 15:10:33.140275,229326278.46916646
2018-06-12 15:10:34.141033,229191764.56010905
2018-06-12 15:10:35.141423,229284784.60366553
2018-06-12 15:10:36.141762,229297391.64859688
2018-06-12 15:10:37.142124,229290514.90677458
2018-06-12 15:10:38.142133,229444680.0
2018-06-12 15:10:39.142334,229245957.6306096
2018-06-12 15:10:40.142924,229239181.60275292
2018-06-12 15:10:41.143143,229315731.64354977
2018-06-12 15:10:42.143812,229221770.16780645
2018-06-12 15:10:43.144222,229280200.5673946
2018-06-12 15:10:44.144928,229213523.56910938
2018-06-12 15:10:45.145010,236644081.6261229
2018-06-12 15:10:46.145027,458678690.57047546
2018-06-12 15:10:47.146705,433026711.4453092
2018-06-12 15:10:48.147638,428097454.14727616
2018-06-12 15:10:49.148547,428122690.11842775
2018-06-12 15:10:50.149627,428033735.8688844
2018-06-12 15:10:51.149638,738731098.3445083
2018-06-12 15:10:52.149673,917150076.9479223
2018-06-12 15:10:53.149685,917148227.4070904
2018-06-12 15:10:54.149697,917239365.8031709
2018-06-12 15:10:55.149714,916876988.1071072
2018-06-12 15:10:56.149732,917154028.4597154
